01012100;;Cavalos reprodutores,de raca pura;
01012900;;Cavalos vivos,exceto reprodutores de raca pura;
01013000;;Asininos;
01019000;;Outros asininos e muares,vivos;
01022110;;Bovinos reprodutores,de raca pura,prenhe ou com cria ao pe;
01022190;;Outros bovinos reprodutores,de raca pura;
01022911;;Outros bovinos para reprodução, prenhe ou com cria ao pe;
01022919;;Outros bovinos domésticos para reprodução;
01022990;;Outros bovinos domésticos;
01023110;;Búfalos reprodutores,de raca pura, prenhe ou com cria ao pe;
01023190;;Outros búfalos reprodutores,de raca pura;
01023911;;Outros búfalos para reprodução, prenhe ou com cria ao pe;
01023919;;Outros búfalos para reprodução;
01023990;;Outros búfalos;
01029000;;Outros animais vivos da espécie bovina;
01031000;;Suinos  reprodutores de raça pura;
01039100;;Outros suinos,vivos,de peso inferior a 50kg;
01039200;;Outros suinos,vivos,de peso igual ou superior a 50kg;
01041011;;Ovinos reprodutores,de raca pura,prenhe ou c/cria ao pe;
01041019;;Outros ovinos,reprodutores,de raca pura;
01041090;;Outros ovinos,vivos;
01042010;;Caprinos reprodutores,de raca pura;
01042090;;Outros caprinos,vivos;
01051110;;Galos e galinhas,p<=185g,de linha pura/hibrida, p/reprod;
01051190;;Outros galos e galinhas,vivos,de peso n/superior a 185g;
01051200;;Peruas e perus,vivos,de peso nao superior a 185g;
01051300;;Patos vivos,de peso<=185g;
01051400;;Gansos, vivos,de peso<=185g;
01051500;;Galinhas dangola (pintadas),vivos,de peso<=185g;
01059400;;Outros galos e galinhas,vivos de peso>185g;
01059900;;Patos,gansos,perus,peruas,pintadas,vivos,de peso>185g;
01061100;;Primatas;
01061200;;Baleias, golfinhos e botos, peixes-boi e digongos, otárias e focas, leões-marinhos e morsas;
01061300;;Camelos e outros camelídeos;
01061400;;Coelhos e lebres;
01061900;;Outros animais mamíferos;
01062000;;Répteis incluídas as serpentes e as tartarugas marinhas;
01063100;;Aves de rapina;
01063200;;Psitaciformes (incluídos os papagaios, os periquitos, as araras e as cacatuas);
01063310;;Avestruzes para reprodução;
01063390;;Outros avestruzes, emus;
01063900;;Outras aves;
01064100;;Abelhas;
01064900;;Outro insetos;
01069000;;Outros animais vivos;
02011000;;Carcacas e meias carcacas,de bovino,frescas ou refriger;
02012010;;Quartos dianteiros,de bovino,n/desossad. frescos/refrig.;
02012020;;Quartos traseiros,de bovino,n/desossados, frescos/refrig;
02012090;;Outs.carnes de bovino,nao desossadas, frescas ou refrig.;
02013000;;Carnes de bovino,desossadas,frescas ou refrigeradas;
02021000;;Carcacas e meias-carcacas,de bovino, congeladas;
02022010;;Quartos dianteiros,de bovino,nao desossados, congelados;
02022020;;Quartos traseiros,de bovino,nao desossados, congelados;
02022090;;Outras carnes de bovino,nao desossadas, congeladas;
02023000;;Carnes de bovino,desossadas,congeladas;
02031100;;Carcacas e meias-carcacas,de suino,frescas ou refriger.;
02031200;;Pernas,pas,etc.de suino,n/desossados,frescos ou refrig.;
02031900;;Outras carnes,de suino,frescas ou refrigeradas;
02032100;;Carcacas e meias-carcacas,de suino, congeladas;
02032200;;Pernas,pas e pedacos,de suinos,n/desossados, congelados;
02032900;;Outras carnes,de suino,congeladas;
02041000;;Carcacas e meias-carcacas,de cordeiro, frescas ou refrig;
02042100;;Carcacas e meias-carcacas,de ovino,frescas ou refriger.;
02042200;;Outras carnes,de ovino,nao desossadas, ]frescas ou refrig;
02042300;;Carnes de ovino,desossadas,frescas ou refrigeradas;
02043000;;Carcacas e meias-carcacas,de cordeiro, congeladas;
02044100;;Carcacas e meias-carcacas,de ovino, congeladas;
02044200;;Outras carnes de ovino,nao desossadas, congeladas;
02044300;;Carnes de ovino,desossadas,congeladas;
