001;BANCO DO BRASIL S.A.;
003;BANCO DA AMAZONIA S.A.;
004;BANCO DO NORDESTE DO BRASIL S.A.;
012;BANCO STANDARD DE INVESTIMENTOS S.A.;
014;NATIXIS BRASIL S.A. BANCO MÚLTIPLO;
019;BANCO AZTECA DO BRASIL S.A.;
021;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;
024;BANCO DE PERNAMBUCO S.A. - BANDEPE;
025;BANCO ALFA S.A.;
029;BANCO BANERJ S.A.;
031;BANCO BEG S.A.;
033;BANCO SANTANDER (BRASIL) S.A.;
036;BANCO BRADESCO BBI S.A.;
037;BANCO DO ESTADO DO PARÁ S.A.;
040;BANCO CARGILL S.A.;
041;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;
044;BANCO BVA S.A.;
045;BANCO OPPORTUNITY S.A.;
047;BANCO DO ESTADO DE SERGIPE S.A.;
062;HIPERCARD BANCO MÚLTIPLO S.A.;
063;BANCO IBI S.A. - BANCO MÚLTIPLO;
065;BANCO LEMON S.A.;
066;BANCO MORGAN STANLEY S.A.;
069;BPN BRASIL BANCO MÚLTIPLO S.A.;
070;BRB - BANCO DE BRASILIA S.A.;
072;BANCO RURAL MAIS S.A.;
073;BB BANCO POPULAR DO BRASIL S.A.;
074;BANCO J. SAFRA S.A.;
075;BANCO CR2 S/A;
076;BANCO KDB DO BRASIL S.A.;
077;BANCO INTERMEDIUM S/A;
078;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO;
079;JBS BANCO S/A;
081;CONCÓRDIA BANCO S.A.;
082;BANCO TOPÁZIO S.A.;
083;BANCO DA CHINA BRASIL S.A;
096;BANCO BM&F DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;
104;CAIXA ECONOMICA FEDERAL;
107;BANCO BBM S/A;
151;BANCO NOSSA CAIXA S.A.;
184;BANCO ITAÚ BBA S.A.;
204;BANCO BRADESCO CARTÕES S.A.;
208;BANCO UBS PACTUAL S.A.;
212;BANCO MATONE S.A.;
